INTERVAL_START,INTERVAL_END,INTERVAL_STATUS,INTERVAL_NUM,INTERVAL_START,INTERVAL_DURATION,INTERVAL_DATA_POINTS,FAN0,FAN1,HEATER1,,SENS0_TEMP,SENS0_PRESS,SENS0_HUM,,SENS1_TEMP,SENS1_PRESS,SENS1_HUM,,SENS2_TEMP,SENS2_PRESS,SENS2_HUM,,SENS3_TEMP,SENS3_PRESS,SENS3_HUM
1726763087,1726763097,OK,1,82.02,10.05,188,25,25,0,,21.92,983.35,42.38,,23.77,996.81,33.69,,20.69,992.27,38.34,,22.74,988.11,32.81
1726763118,1726763129,OK,2,113.13,10.05,188,30,30,0,,21.93,983.33,42.4,,23.77,996.8,33.8,,20.7,992.26,38.51,,22.76,988.11,32.84
1726763150,1726763160,OK,3,144.24,10.05,188,35,35,0,,21.94,983.33,42.42,,23.77,996.79,33.9,,20.71,992.26,38.63,,22.76,988.09,32.85
1726763181,1726763191,OK,4,175.34,10.05,188,40,40,0,,21.92,983.34,39.01,,23.81,996.79,31.82,,20.69,992.25,35.94,,22.77,988.09,32.02
1726763212,1726763222,OK,5,206.45,10.05,188,45,45,0,,21.91,983.33,38.59,,23.82,996.79,31.08,,20.68,992.26,35.67,,22.76,988.07,31.56
1726763243,1726763253,OK,6,237.56,10.05,188,50,50,0,,21.91,983.33,38.33,,23.83,996.8,30.87,,20.68,992.26,35.6,,22.76,988.07,31.22
1726763274,1726763284,OK,7,268.67,10.05,188,55,55,0,,21.91,983.33,38.3,,23.84,996.8,30.77,,20.69,992.28,35.56,,22.76,988.08,31.19
1726763305,1726763315,OK,8,299.77,10.05,188,60,60,0,,21.91,983.34,38.35,,23.85,996.8,30.8,,20.69,992.28,35.66,,22.75,988.06,31.24
1726763336,1726763346,OK,9,330.88,10.05,188,65,65,0,,21.91,983.35,38.18,,23.86,996.79,30.61,,20.69,992.3,35.51,,22.75,988.08,31.07
1726763367,1726763378,OK,10,361.99,10.05,188,70,70,0,,21.9,983.35,38.13,,23.86,996.78,30.54,,20.69,992.28,35.48,,22.75,988.07,31.02
1726763399,1726763409,OK,11,393.1,10.05,188,75,75,0,,21.89,983.37,38.21,,23.87,996.77,30.55,,20.69,992.28,35.51,,22.74,988.05,31.08
1726763430,1726763440,OK,12,424.2,10.05,188,80,80,0,,21.88,983.38,38.24,,23.87,996.77,30.44,,20.69,992.3,35.42,,22.74,988.05,31.1
1726763461,1726763471,OK,13,455.31,10.05,188,85,85,0,,21.86,983.38,38.03,,23.86,996.78,30.32,,20.68,992.32,35.31,,22.73,988.06,30.88
1726763492,1726763502,OK,14,486.42,10.05,188,90,90,0,,21.83,983.38,38.1,,23.85,996.79,30.4,,20.66,992.34,35.43,,22.72,988.06,30.96
1726763523,1726763533,OK,15,517.53,10.05,188,95,95,0,,21.81,983.4,38.05,,23.83,996.79,30.31,,20.64,992.35,35.36,,22.71,988.07,30.89
1726763554,1726763564,OK,16,548.64,10.05,188,100,100,0,,21.79,983.43,38.09,,23.82,996.8,30.35,,20.63,992.36,35.39,,22.7,988.08,30.9
1726763585,1726763595,OK,17,579.75,10.05,188,105,105,0,,21.76,983.4,38.14,,23.8,996.78,30.34,,20.6,992.35,35.4,,22.68,988.06,30.94
1726763617,1726763627,OK,18,610.86,10.05,188,110,110,0,,21.73,983.43,38.07,,23.78,996.79,30.31,,20.58,992.4,35.4,,22.66,988.08,30.87
1726763648,1726763658,OK,19,641.97,10.05,188,115,115,0,,21.71,983.44,38.21,,23.76,996.78,30.34,,20.56,992.4,35.46,,22.64,988.06,31.01
1726763679,1726763689,OK,20,673.08,10.05,188,120,120,0,,21.69,983.44,38.17,,23.74,996.78,30.35,,20.54,992.4,35.46,,22.62,988.07,30.95
1726763710,1726763720,OK,21,704.19,10.05,188,125,125,0,,21.67,983.45,38.14,,23.73,996.78,30.33,,20.52,992.42,35.46,,22.6,988.07,30.94
1726763741,1726763751,OK,22,735.3,10.05,188,130,130,0,,21.65,983.46,38.25,,23.71,996.77,30.4,,20.51,992.43,35.54,,22.59,988.07,31.04
1726763772,1726763782,OK,23,766.41,10.05,188,135,135,0,,21.63,983.47,38.23,,23.7,996.78,30.38,,20.5,992.44,35.49,,22.57,988.06,31.01
1726763803,1726763813,OK,24,797.52,10.05,188,140,140,0,,21.61,983.47,38.25,,23.68,996.77,30.39,,20.49,992.45,35.48,,22.55,988.05,31.03
1726763834,1726763844,OK,25,828.63,10.05,188,145,145,0,,21.6,983.46,38.3,,23.67,996.74,30.42,,20.48,992.42,35.48,,22.54,988.02,31.09
1726763866,1726763876,OK,26,859.74,10.05,188,150,150,0,,21.58,983.46,38.28,,23.65,996.77,30.39,,20.47,992.45,35.46,,22.52,988.05,31.06
1726763897,1726763907,OK,27,890.85,10.05,188,155,155,0,,21.57,983.48,38.29,,23.64,996.75,30.4,,20.47,992.45,35.48,,22.51,988.05,31.06
1726763928,1726763938,OK,28,921.96,10.05,188,160,160,0,,21.55,983.47,38.28,,23.63,996.75,30.41,,20.45,992.45,35.47,,22.49,988.05,31.06
1726763959,1726763969,OK,29,953.07,10.05,188,165,165,0,,21.54,983.5,38.41,,23.62,996.74,30.47,,20.44,992.44,35.55,,22.48,988.04,31.2
1726763990,1726764000,OK,30,984.18,10.05,188,170,170,0,,21.53,983.49,38.42,,23.61,996.74,30.51,,20.45,992.47,35.57,,22.48,988.04,31.23
1726764021,1726764031,OK,31,1015.29,10.05,188,175,175,0,,21.53,983.51,38.42,,23.61,996.73,30.46,,20.44,992.48,35.53,,22.46,988.03,31.22
1726764052,1726764062,OK,32,1046.4,10.05,188,180,180,0,,21.52,983.52,38.37,,23.6,996.72,30.45,,20.43,992.48,35.5,,22.45,988.03,31.18
1726764083,1726764094,OK,33,1077.51,10.05,188,185,185,0,,21.5,983.5,38.39,,23.59,996.7,30.45,,20.42,992.46,35.52,,22.44,988,31.19
1726764115,1726764125,OK,34,1108.62,10.05,188,190,190,0,,21.49,983.5,38.4,,23.58,996.71,30.49,,20.43,992.47,35.53,,22.43,987.99,31.2
1726764146,1726764156,OK,35,1139.73,10.05,188,195,195,0,,21.5,983.52,38.4,,23.58,996.71,30.51,,20.43,992.48,35.54,,22.43,988.01,31.21
1726764177,1726764187,OK,36,1170.84,10.05,188,200,200,0,,21.49,983.52,38.39,,23.57,996.71,30.49,,20.42,992.49,35.51,,22.42,988,31.21
1726764208,1726764218,OK,37,1201.95,10.05,188,205,205,0,,21.49,983.53,38.35,,23.57,996.7,30.47,,20.43,992.5,35.47,,22.41,988,31.17
1726764239,1726764249,OK,38,1233.06,10.05,188,210,210,0,,21.48,983.53,38.39,,23.56,996.7,30.47,,20.42,992.49,35.48,,22.41,988,31.22
1726764270,1726764280,OK,39,1264.18,10.05,188,215,215,0,,21.48,983.54,38.35,,23.56,996.72,30.48,,20.42,992.52,35.48,,22.41,987.99,31.19
1726764301,1726764311,OK,40,1295.29,10.05,188,220,220,0,,21.48,983.55,38.97,,23.55,996.7,30.97,,20.42,992.53,35.99,,22.4,988.01,31.82
1726764332,1726764343,OK,41,1326.4,10.05,188,225,225,0,,21.51,983.56,38.9,,23.57,996.71,31,,20.45,992.53,36,,22.41,987.99,31.79
1726764364,1726764374,OK,42,1357.51,10.05,188,230,230,0,,21.53,983.56,38.61,,23.58,996.71,30.7,,20.46,992.53,35.65,,22.42,987.98,31.51
1726764395,1726764405,OK,43,1388.62,10.05,188,235,235,0,,21.55,983.54,38.58,,23.6,996.71,30.64,,20.49,992.55,35.59,,22.44,988,31.51
1726764426,1726764436,OK,44,1419.73,10.05,188,240,240,0,,21.53,983.57,38.5,,23.6,996.72,30.54,,20.47,992.58,35.53,,22.43,988,31.41
1726764457,1726764467,OK,45,1450.84,10.05,188,245,245,0,,21.54,983.57,38.31,,23.6,996.71,30.47,,20.48,992.59,35.45,,22.43,987.99,31.23
1726764488,1726764498,OK,46,1481.95,10.05,188,250,250,0,,21.55,983.56,38.31,,23.61,996.72,30.42,,20.51,992.6,35.35,,22.44,987.98,31.24
1726764519,1726764529,OK,47,1513.06,10.05,188,255,255,0,,21.59,983.63,38.23,,23.63,996.71,30.36,,20.56,992.64,35.23,,22.47,988,31.2
1726764550,1726764560,OK,48,1544.17,10.05,188,250,250,0,,21.64,983.53,38.06,,23.65,996.72,30.32,,20.61,992.61,35.14,,22.5,987.98,31.07
1726764581,1726764592,OK,49,1575.28,10.05,188,245,245,0,,21.73,983.54,37.89,,23.69,996.73,30.2,,20.69,992.61,34.91,,22.55,987.99,30.98
1726764613,1726764623,OK,50,1606.39,10.05,188,240,240,0,,21.76,983.53,37.78,,23.73,996.7,30.09,,20.73,992.59,34.8,,22.59,987.99,30.87
1726764644,1726764654,OK,51,1637.5,10.05,188,235,235,0,,21.74,983.53,38.35,,23.74,996.71,30.42,,20.69,992.59,35.31,,22.59,987.97,31.39
1726764675,1726764685,OK,52,1668.61,10.05,188,230,230,0,,21.74,983.52,38.59,,23.75,996.7,30.81,,20.68,992.56,35.71,,22.6,987.97,31.61
1726764706,1726764716,OK,53,1699.72,10.05,188,225,225,0,,21.73,983.49,38.52,,23.76,996.68,30.69,,20.67,992.52,35.59,,22.6,987.94,31.53
1726764737,1726764747,OK,54,1730.83,10.05,188,220,220,0,,21.72,983.48,38.32,,23.75,996.68,30.56,,20.66,992.51,35.49,,22.59,987.93,31.32
1726764768,1726764778,OK,55,1761.94,10.05,188,215,215,0,,21.68,983.47,38.35,,23.74,996.68,30.54,,20.61,992.5,35.53,,22.58,987.94,31.31
1726764799,1726764809,OK,56,1793.06,10.05,188,210,210,0,,21.65,983.45,38.38,,23.72,996.67,30.54,,20.58,992.48,35.54,,22.56,987.93,31.32
1726764831,1726764841,OK,57,1824.17,10.05,188,205,205,0,,21.62,983.44,38.51,,23.7,996.66,30.68,,20.54,992.46,35.77,,22.53,987.93,31.43
1726764862,1726764872,OK,58,1855.28,10.05,188,200,200,0,,21.6,983.42,38.36,,23.68,996.64,30.52,,20.53,992.45,35.58,,22.52,987.89,31.27
1726764893,1726764903,OK,59,1886.39,10.05,188,195,195,0,,21.6,983.42,38.56,,23.68,996.63,30.69,,20.52,992.43,35.75,,22.51,987.89,31.48
1726764924,1726764934,OK,60,1917.5,10.05,188,190,190,0,,21.59,983.39,38.45,,23.67,996.62,30.55,,20.52,992.4,35.62,,22.51,987.9,31.37
1726764955,1726764965,OK,61,1948.61,10.05,188,185,185,0,,21.58,983.38,38.39,,23.66,996.62,30.51,,20.49,992.39,35.62,,22.49,987.89,31.29
1726764986,1726764996,OK,62,1979.72,10.05,188,180,180,0,,21.56,983.37,38.43,,23.65,996.61,30.5,,20.47,992.36,35.62,,22.48,987.88,31.33
1726765017,1726765027,OK,63,2010.83,10.05,188,175,175,0,,21.56,983.33,38.37,,23.63,996.57,30.48,,20.46,992.31,35.6,,22.47,987.83,31.29
1726765048,1726765059,OK,64,2041.94,10.05,188,170,170,0,,21.55,983.31,38.44,,23.62,996.55,30.51,,20.45,992.3,35.63,,22.47,987.84,31.35
1726765080,1726765090,OK,65,2073.05,10.05,188,165,165,0,,21.55,983.29,38.49,,23.62,996.55,30.56,,20.45,992.28,35.65,,22.46,987.83,31.42
1726765111,1726765121,OK,66,2104.16,10.05,188,160,160,0,,21.55,983.25,38.39,,23.61,996.52,30.54,,20.46,992.24,35.59,,22.46,987.81,31.32
1726765142,1726765152,OK,67,2135.27,10.05,188,155,155,0,,21.54,983.25,38.36,,23.6,996.52,30.5,,20.43,992.23,35.59,,22.45,987.81,31.28
1726765173,1726765183,OK,68,2166.38,10.05,188,150,150,0,,21.53,983.27,38.45,,23.6,996.54,30.54,,20.42,992.25,35.65,,22.44,987.83,31.37
1726765204,1726765214,OK,69,2197.49,10.05,188,145,145,0,,21.53,983.24,38.45,,23.59,996.52,30.54,,20.42,992.23,35.65,,22.43,987.82,31.37
1726765235,1726765245,OK,70,2228.6,10.05,188,140,140,0,,21.53,983.23,38.39,,23.59,996.51,30.56,,20.42,992.2,35.64,,22.43,987.79,31.33
1726765266,1726765276,OK,71,2259.71,10.05,188,135,135,0,,21.54,983.22,38.35,,23.59,996.51,30.53,,20.43,992.17,35.6,,22.44,987.79,31.29
1726765297,1726765308,OK,72,2290.82,10.05,188,130,130,0,,21.55,983.18,38.37,,23.59,996.5,30.54,,20.44,992.14,35.58,,22.45,987.77,31.34
1726765329,1726765339,OK,73,2321.93,10.05,188,125,125,0,,21.56,983.16,38.35,,23.59,996.49,30.57,,20.43,992.1,35.63,,22.45,987.77,31.32
1726765360,1726765370,OK,74,2353.04,10.05,188,120,120,0,,21.55,983.14,38.33,,23.59,996.47,30.54,,20.43,992.08,35.6,,22.45,987.77,31.31
1726765391,1726765401,OK,75,2384.16,10.05,188,115,115,0,,21.55,983.14,38.29,,23.58,996.48,30.5,,20.43,992.07,35.56,,22.45,987.75,31.27
1726765422,1726765432,OK,76,2415.27,10.05,188,110,110,0,,21.55,983.12,38.22,,23.58,996.47,30.48,,20.42,992.05,35.55,,22.45,987.74,31.21
1726765453,1726765463,OK,77,2446.38,10.05,188,105,105,0,,21.56,983.09,38.25,,23.58,996.44,30.52,,20.42,992.03,35.58,,22.45,987.73,31.23
1726765484,1726765494,OK,78,2477.49,10.05,188,100,100,0,,21.57,983.07,38.25,,23.58,996.43,30.51,,20.43,991.99,35.56,,22.45,987.72,31.26
1726765515,1726765525,OK,79,2508.6,10.05,188,95,95,0,,21.57,983.02,38.24,,23.58,996.42,30.49,,20.43,991.96,35.54,,22.45,987.69,31.24
1726765546,1726765557,OK,80,2539.7,10.05,188,90,90,0,,21.58,983,38.18,,23.59,996.4,30.47,,20.44,991.95,35.53,,22.46,987.68,31.2
1726765578,1726765588,OK,81,2570.81,10.05,188,85,85,0,,21.59,983,38.15,,23.59,996.41,30.43,,20.44,991.94,35.46,,22.46,987.69,31.18
1726765609,1726765619,OK,82,2601.92,10.05,188,80,80,0,,21.59,982.99,38.14,,23.58,996.4,30.43,,20.45,991.93,35.44,,22.46,987.67,31.18
1726765640,1726765650,OK,83,2633.03,10.05,188,75,75,0,,21.6,982.98,38.11,,23.58,996.4,30.41,,20.45,991.92,35.39,,22.47,987.69,31.16
1726765671,1726765681,OK,84,2664.14,10.05,188,70,70,0,,21.6,982.94,38.09,,23.58,996.39,30.46,,20.45,991.9,35.44,,22.47,987.69,31.14
1726765702,1726765712,OK,85,2695.25,10.05,188,65,65,0,,21.61,982.94,38.06,,23.58,996.39,30.44,,20.44,991.87,35.44,,22.47,987.67,31.11
1726765733,1726765743,OK,86,2726.36,10.05,188,60,60,0,,21.6,982.93,38.11,,23.58,996.39,30.45,,20.44,991.86,35.44,,22.48,987.66,31.15
1726765764,1726765774,OK,87,2757.47,10.05,188,55,55,0,,21.61,982.91,38.09,,23.57,996.38,30.48,,20.44,991.86,35.46,,22.48,987.66,31.15
1726765796,1726765806,OK,88,2788.57,10.05,188,50,50,0,,21.61,982.92,38.09,,23.57,996.38,30.49,,20.45,991.86,35.42,,22.49,987.67,31.15
1726765827,1726765837,OK,89,2819.68,10.05,188,45,45,0,,21.62,982.93,38.06,,23.57,996.4,30.46,,20.44,991.87,35.4,,22.49,987.69,31.14
1726765858,1726765868,OK,90,2850.79,10.05,188,40,40,0,,21.62,982.94,38.02,,23.56,996.4,30.49,,20.43,991.86,35.42,,22.5,987.69,31.11
1726765889,1726765899,OK,91,2881.9,10.05,188,35,35,0,,21.63,982.93,38.13,,23.56,996.39,30.58,,20.43,991.85,35.44,,22.5,987.68,31.21
1726765920,1726765930,OK,92,2913.01,10.05,188,30,30,0,,21.63,982.91,38.16,,23.54,996.38,30.69,,20.42,991.82,35.48,,22.5,987.68,31.29